Code Domaine;Domaine;Code zone (FAO);Zone;Code Élément;Élément;Code Produit;Produit;Code année;Année;Unité;Valeur;Symbole;Description du Symbole
FBS;Nouveaux Bilans Alimentaire;2;Afghanistan;5521;Aliments pour animaux;2511;Blé et produits;2017;2017;Milliers de tonnes;491;Im;Données de la FAO basées sur une méthodologie d'imputation
FBS;Nouveaux Bilans Alimentaire;2;Afghanistan;5521;Aliments pour animaux;2807;Riz et produits;2017;2017;Milliers de tonnes;0;Im;Données de la FAO basées sur une méthodologie d'imputation
FBS;Nouveaux Bilans Alimentaire;2;Afghanistan;5521;Aliments pour animaux;2513;Orge et produits;2017;2017;Milliers de tonnes;67;Im;Données de la FAO basées sur une méthodologie d'imputation
FBS;Nouveaux Bilans Alimentaire;2;Afghanistan;5521;Aliments pour animaux;2514;Maïs et produits;2017;2017;Milliers de tonnes;111;Im;Données de la FAO basées sur une méthodologie d'imputation
FBS;Nouveaux Bilans Alimentaire;2;Afghanistan;5521;Aliments pour animaux;2515;Seigle et produits;2017;2017;Milliers de tonnes;0;Im;Données de la FAO basées sur une méthodologie d'imputation
FBS;Nouveaux Bilans Alimentaire;2;Afghanistan;5521;Aliments pour animaux;2516;Avoine;2017;2017;Milliers de tonnes;0;Im;Données de la FAO basées sur une méthodologie d'imputation
FBS;Nouveaux Bilans Alimentaire;2;Afghanistan;5521;Aliments pour animaux;2517;Millet et produits;2017;2017;Milliers de tonnes;0;Im;Données de la FAO basées sur une méthodologie d'imputation
FBS;Nouveaux Bilans Alimentaire;2;Afghanistan;5521;Aliments pour animaux;2520;Céréales, Autres;2017;2017;Milliers de tonnes;0;Im;Données de la FAO basées sur une méthodologie d'imputation
FBS;Nouveaux Bilans Alimentaire;2;Afghanistan;5521;Aliments pour animaux;2533;Patates douces;2017;2017;Milliers de tonnes;0;Im;Données de la FAO basées sur une méthodologie d'imputation
FBS;Nouveaux Bilans Alimentaire;2;Afghanistan;5521;Aliments pour animaux;2536;Sucre, canne;2017;2017;Milliers de tonnes;30;Im;Données de la FAO basées sur une méthodologie d'imputation
FBS;Nouveaux Bilans Alimentaire;2;Afghanistan;5521;Aliments pour animaux;2543;Edulcorants Autres;2017;2017;Milliers de tonnes;0;Im;Données de la FAO basées sur une méthodologie d'imputation
FBS;Nouveaux Bilans Alimentaire;2;Afghanistan;5521;Aliments pour animaux;2547;Pois;2017;2017;Milliers de tonnes;24;Im;Données de la FAO basées sur une méthodologie d'imputation
FBS;Nouveaux Bilans Alimentaire;2;Afghanistan;5521;Aliments pour animaux;2549;Légumineuses Autres et produits;2017;2017;Milliers de tonnes;6;Im;Données de la FAO basées sur une méthodologie d'imputation
FBS;Nouveaux Bilans Alimentaire;2;Afghanistan;5521;Aliments pour animaux;2555;Soja;2017;2017;Milliers de tonnes;0;Im;Données de la FAO basées sur une méthodologie d'imputation
FBS;Nouveaux Bilans Alimentaire;2;Afghanistan;5521;Aliments pour animaux;2557;Graines de tournesol;2017;2017;Milliers de tonnes;0;Im;Données de la FAO basées sur une méthodologie d'imputation
FBS;Nouveaux Bilans Alimentaire;2;Afghanistan;5521;Aliments pour animaux;2558;Graines Colza/Moutarde;2017;2017;Milliers de tonnes;1;Im;Données de la FAO basées sur une méthodologie d'imputation
FBS;Nouveaux Bilans Alimentaire;2;Afghanistan;5521;Aliments pour animaux;2559;Graines de coton;2017;2017;Milliers de tonnes;0;Im;Données de la FAO basées sur une méthodologie d'imputation
FBS;Nouveaux Bilans Alimentaire;2;Afghanistan;5521;Aliments pour animaux;2560;Coco (Incl Coprah);2017;2017;Milliers de tonnes;1;Im;Données de la FAO basées sur une méthodologie d'imputation
FBS;Nouveaux Bilans Alimentaire;2;Afghanistan;5521;Aliments pour animaux;2570;Plantes Oleiferes, Autre;2017;2017;Milliers de tonnes;1;Im;Données de la FAO basées sur une méthodologie d'imputation
FBS;Nouveaux Bilans Alimentaire;2;Afghanistan;5521;Aliments pour animaux;2848;Lait - Excl Beurre;2017;2017;Milliers de tonnes;13;Im;Données de la FAO basées sur une méthodologie d'imputation
FBS;Nouveaux Bilans Alimentaire;202;Afrique du Sud;5521;Aliments pour animaux;2511;Blé et produits;2017;2017;Milliers de tonnes;2;Im;Données de la FAO basées sur une méthodologie d'imputation
FBS;Nouveaux Bilans Alimentaire;202;Afrique du Sud;5521;Aliments pour animaux;2807;Riz et produits;2017;2017;Milliers de tonnes;0;Im;Données de la FAO basées sur une méthodologie d'imputation
FBS;Nouveaux Bilans Alimentaire;202;Afrique du Sud;5521;Aliments pour animaux;2513;Orge et produits;2017;2017;Milliers de tonnes;6;Im;Données de la FAO basées sur une méthodologie d'imputation
FBS;Nouveaux Bilans Alimentaire;202;Afrique du Sud;5521;Aliments pour animaux;2514;Maïs et produits;2017;2017;Milliers de tonnes;5300;Im;Données de la FAO basées sur une méthodologie d'imputation
FBS;Nouveaux Bilans Alimentaire;202;Afrique du Sud;5521;Aliments pour animaux;2515;Seigle et produits;2017;2017;Milliers de tonnes;0;Im;Données de la FAO basées sur une méthodologie d'imputation
FBS;Nouveaux Bilans Alimentaire;202;Afrique du Sud;5521;Aliments pour animaux;2516;Avoine;2017;2017;Milliers de tonnes;9;Im;Données de la FAO basées sur une méthodologie d'imputation
FBS;Nouveaux Bilans Alimentaire;202;Afrique du Sud;5521;Aliments pour animaux;2517;Millet et produits;2017;2017;Milliers de tonnes;8;Im;Données de la FAO basées sur une méthodologie d'imputation
FBS;Nouveaux Bilans Alimentaire;202;Afrique du Sud;5521;Aliments pour animaux;2518;Sorgho et produits;2017;2017;Milliers de tonnes;9;Im;Données de la FAO basées sur une méthodologie d'imputation
FBS;Nouveaux Bilans Alimentaire;202;Afrique du Sud;5521;Aliments pour animaux;2520;Céréales, Autres;2017;2017;Milliers de tonnes;11;Im;Données de la FAO basées sur une méthodologie d'imputation
FBS;Nouveaux Bilans Alimentaire;202;Afrique du Sud;5521;Aliments pour animaux;2531;Pommes de Terre et produits;2017;2017;Milliers de tonnes;238;Im;Données de la FAO basées sur une méthodologie d'imputation
FBS;Nouveaux Bilans Alimentaire;202;Afrique du Sud;5521;Aliments pour animaux;2533;Patates douces;2017;2017;Milliers de tonnes;3;Im;Données de la FAO basées sur une méthodologie d'imputation
FBS;Nouveaux Bilans Alimentaire;202;Afrique du Sud;5521;Aliments pour animaux;2535;Ignames;2017;2017;Milliers de tonnes;1;Im;Données de la FAO basées sur une méthodologie d'imputation
FBS;Nouveaux Bilans Alimentaire;202;Afrique du Sud;5521;Aliments pour animaux;2534;Racines nda;2017;2017;Milliers de tonnes;0;Im;Données de la FAO basées sur une méthodologie d'imputation
FBS;Nouveaux Bilans Alimentaire;202;Afrique du Sud;5521;Aliments pour animaux;2536;Sucre, canne;2017;2017;Milliers de tonnes;903;Im;Données de la FAO basées sur une méthodologie d'imputation
FBS;Nouveaux Bilans Alimentaire;202;Afrique du Sud;5521;Aliments pour animaux;2549;Légumineuses Autres et produits;2017;2017;Milliers de tonnes;9;Im;Données de la FAO basées sur une méthodologie d'imputation
FBS;Nouveaux Bilans Alimentaire;202;Afrique du Sud;5521;Aliments pour animaux;2555;Soja;2017;2017;Milliers de tonnes;147;Im;Données de la FAO basées sur une méthodologie d'imputation
FBS;Nouveaux Bilans Alimentaire;202;Afrique du Sud;5521;Aliments pour animaux;2557;Graines de tournesol;2017;2017;Milliers de tonnes;6;Im;Données de la FAO basées sur une méthodologie d'imputation
FBS;Nouveaux Bilans Alimentaire;202;Afrique du Sud;5521;Aliments pour animaux;2558;Graines Colza/Moutarde;2017;2017;Milliers de tonnes;4;Im;Données de la FAO basées sur une méthodologie d'imputation
FBS;Nouveaux Bilans Alimentaire;202;Afrique du Sud;5521;Aliments pour animaux;2559;Graines de coton;2017;2017;Milliers de tonnes;0;Im;Données de la FAO basées sur une méthodologie d'imputation
FBS;Nouveaux Bilans Alimentaire;202;Afrique du Sud;5521;Aliments pour animaux;2560;Coco (Incl Coprah);2017;2017;Milliers de tonnes;0;Im;Données de la FAO basées sur une méthodologie d'imputation
FBS;Nouveaux Bilans Alimentaire;202;Afrique du Sud;5521;Aliments pour animaux;2570;Plantes Oleiferes, Autre;2017;2017;Milliers de tonnes;0;Im;Données de la FAO basées sur une méthodologie d'imputation
FBS;Nouveaux Bilans Alimentaire;202;Afrique du Sud;5521;Aliments pour animaux;2605;Légumes, Autres;2017;2017;Milliers de tonnes;50;Im;Données de la FAO basées sur une méthodologie d'imputation
FBS;Nouveaux Bilans Alimentaire;202;Afrique du Sud;5521;Aliments pour animaux;2625;Fruits, Autres;2017;2017;Milliers de tonnes;0;Im;Données de la FAO basées sur une méthodologie d'imputation
FBS;Nouveaux Bilans Alimentaire;202;Afrique du Sud;5521;Aliments pour animaux;2735;Viande, Autre;2017;2017;Milliers de tonnes;2;Im;Données de la FAO basées sur une méthodologie d'imputation
FBS;Nouveaux Bilans Alimentaire;202;Afrique du Sud;5521;Aliments pour animaux;2736;Abats Comestible;2017;2017;Milliers de tonnes;0;Im;Données de la FAO basées sur une méthodologie d'imputation
FBS;Nouveaux Bilans Alimentaire;202;Afrique du Sud;5521;Aliments pour animaux;2781;Huiles de Poissons;2017;2017;Milliers de tonnes;1,06;Im;Données de la FAO basées sur une méthodologie d'imputation
FBS;Nouveaux Bilans Alimentaire;202;Afrique du Sud;5521;Aliments pour animaux;2848;Lait - Excl Beurre;2017;2017;Milliers de tonnes;375;Im;Données de la FAO basées sur une méthodologie d'imputation
FBS;Nouveaux Bilans Alimentaire;202;Afrique du Sud;5521;Aliments pour animaux;2762;Perciform;2017;2017;Milliers de tonnes;0;Im;Données de la FAO basées sur une méthodologie d'imputation
FBS;Nouveaux Bilans Alimentaire;202;Afrique du Sud;5521;Aliments pour animaux;2763;Poissons Pelagiques;2017;2017;Milliers de tonnes;25,18;Im;Données de la FAO basées sur une méthodologie d'imputation
FBS;Nouveaux Bilans Alimentaire;202;Afrique du Sud;5521;Aliments pour animaux;2764;Poissons Marins, Autres;2017;2017;Milliers de tonnes;0;Im;Données de la FAO basées sur une méthodologie d'imputation
FBS;Nouveaux Bilans Alimentaire;3;Albanie;5521;Aliments pour animaux;2511;Blé et produits;2017;2017;Milliers de tonnes;20;Im;Données de la FAO basées sur une méthodologie d'imputation
FBS;Nouveaux Bilans Alimentaire;3;Albanie;5521;Aliments pour animaux;2513;Orge et produits;2017;2017;Milliers de tonnes;8;Im;Données de la FAO basées sur une méthodologie d'imputation
FBS;Nouveaux Bilans Alimentaire;3;Albanie;5521;Aliments pour animaux;2514;Maïs et produits;2017;2017;Milliers de tonnes;381;Im;Données de la FAO basées sur une méthodologie d'imputation
FBS;Nouveaux Bilans Alimentaire;3;Albanie;5521;Aliments pour animaux;2515;Seigle et produits;2017;2017;Milliers de tonnes;0;Im;Données de la FAO basées sur une méthodologie d'imputation
FBS;Nouveaux Bilans Alimentaire;3;Albanie;5521;Aliments pour animaux;2516;Avoine;2017;2017;Milliers de tonnes;30;Im;Données de la FAO basées sur une méthodologie d'imputation
FBS;Nouveaux Bilans Alimentaire;3;Albanie;5521;Aliments pour animaux;2517;Millet et produits;2017;2017;Milliers de tonnes;0;Im;Données de la FAO basées sur une méthodologie d'imputation
FBS;Nouveaux Bilans Alimentaire;3;Albanie;5521;Aliments pour animaux;2518;Sorgho et produits;2017;2017;Milliers de tonnes;0;Im;Données de la FAO basées sur une méthodologie d'imputation
FBS;Nouveaux Bilans Alimentaire;3;Albanie;5521;Aliments pour animaux;2520;Céréales, Autres;2017;2017;Milliers de tonnes;0;Im;Données de la FAO basées sur une méthodologie d'imputation
FBS;Nouveaux Bilans Alimentaire;3;Albanie;5521;Aliments pour animaux;2531;Pommes de Terre et produits;2017;2017;Milliers de tonnes;80;Im;Données de la FAO basées sur une méthodologie d'imputation
FBS;Nouveaux Bilans Alimentaire;3;Albanie;5521;Aliments pour animaux;2537;Sucre, betterave;2017;2017;Milliers de tonnes;1;Im;Données de la FAO basées sur une méthodologie d'imputation
FBS;Nouveaux Bilans Alimentaire;3;Albanie;5521;Aliments pour animaux;2543;Edulcorants Autres;2017;2017;Milliers de tonnes;0;Im;Données de la FAO basées sur une méthodologie d'imputation
FBS;Nouveaux Bilans Alimentaire;3;Albanie;5521;Aliments pour animaux;2546;Haricots;2017;2017;Milliers de tonnes;1;Im;Données de la FAO basées sur une méthodologie d'imputation
FBS;Nouveaux Bilans Alimentaire;3;Albanie;5521;Aliments pour animaux;2549;Légumineuses Autres et produits;2017;2017;Milliers de tonnes;1;Im;Données de la FAO basées sur une méthodologie d'imputation
FBS;Nouveaux Bilans Alimentaire;3;Albanie;5521;Aliments pour animaux;2559;Graines de coton;2017;2017;Milliers de tonnes;0;Im;Données de la FAO basées sur une méthodologie d'imputation
FBS;Nouveaux Bilans Alimentaire;3;Albanie;5521;Aliments pour animaux;2563;Olives;2017;2017;Milliers de tonnes;0;Im;Données de la FAO basées sur une méthodologie d'imputation
FBS;Nouveaux Bilans Alimentaire;3;Albanie;5521;Aliments pour animaux;2570;Plantes Oleiferes, Autre;2017;2017;Milliers de tonnes;0;Im;Données de la FAO basées sur une méthodologie d'imputation
FBS;Nouveaux Bilans Alimentaire;3;Albanie;5521;Aliments pour animaux;2605;Légumes, Autres;2017;2017;Milliers de tonnes;85;Im;Données de la FAO basées sur une méthodologie d'imputation
FBS;Nouveaux Bilans Alimentaire;3;Albanie;5521;Aliments pour animaux;2848;Lait - Excl Beurre;2017;2017;Milliers de tonnes;70;Im;Données de la FAO basées sur une méthodologie d'imputation
FBS;Nouveaux Bilans Alimentaire;3;Albanie;5521;Aliments pour animaux;2763;Poissons Pelagiques;2017;2017;Milliers de tonnes;0,17;Im;Données de la FAO basées sur une méthodologie d'imputation
FBS;Nouveaux Bilans Alimentaire;4;Algérie;5521;Aliments pour animaux;2511;Blé et produits;2017;2017;Milliers de tonnes;587;Im;Données de la FAO basées sur une méthodologie d'imputation
FBS;Nouveaux Bilans Alimentaire;4;Algérie;5521;Aliments pour animaux;2807;Riz et produits;2017;2017;Milliers de tonnes;2;Im;Données de la FAO basées sur une méthodologie d'imputation
FBS;Nouveaux Bilans Alimentaire;4;Algérie;5521;Aliments pour animaux;2513;Orge et produits;2017;2017;Milliers de tonnes;909;Im;Données de la FAO basées sur une méthodologie d'imputation
FBS;Nouveaux Bilans Alimentaire;4;Algérie;5521;Aliments pour animaux;2514;Maïs et produits;2017;2017;Milliers de tonnes;3102;Im;Données de la FAO basées sur une méthodologie d'imputation
FBS;Nouveaux Bilans Alimentaire;4;Algérie;5521;Aliments pour animaux;2516;Avoine;2017;2017;Milliers de tonnes;62;Im;Données de la FAO basées sur une méthodologie d'imputation
FBS;Nouveaux Bilans Alimentaire;4;Algérie;5521;Aliments pour animaux;2517;Millet et produits;2017;2017;Milliers de tonnes;1;Im;Données de la FAO basées sur une méthodologie d'imputation
FBS;Nouveaux Bilans Alimentaire;4;Algérie;5521;Aliments pour animaux;2518;Sorgho et produits;2017;2017;Milliers de tonnes;0;Im;Données de la FAO basées sur une méthodologie d'imputation
FBS;Nouveaux Bilans Alimentaire;4;Algérie;5521;Aliments pour animaux;2520;Céréales, Autres;2017;2017;Milliers de tonnes;4;Im;Données de la FAO basées sur une méthodologie d'imputation
FBS;Nouveaux Bilans Alimentaire;4;Algérie;5521;Aliments pour animaux;2547;Pois;2017;2017;Milliers de tonnes;0;Im;Données de la FAO basées sur une méthodologie d'imputation
FBS;Nouveaux Bilans Alimentaire;4;Algérie;5521;Aliments pour animaux;2549;Légumineuses Autres et produits;2017;2017;Milliers de tonnes;17;Im;Données de la FAO basées sur une méthodologie d'imputation
FBS;Nouveaux Bilans Alimentaire;4;Algérie;5521;Aliments pour animaux;2555;Soja;2017;2017;Milliers de tonnes;0;Im;Données de la FAO basées sur une méthodologie d'imputation
FBS;Nouveaux Bilans Alimentaire;4;Algérie;5521;Aliments pour animaux;2561;Sésame;2017;2017;Milliers de tonnes;0;Im;Données de la FAO basées sur une méthodologie d'imputation
FBS;Nouveaux Bilans Alimentaire;4;Algérie;5521;Aliments pour animaux;2570;Plantes Oleiferes, Autre;2017;2017;Milliers de tonnes;3;Im;Données de la FAO basées sur une méthodologie d'imputation
FBS;Nouveaux Bilans Alimentaire;4;Algérie;5521;Aliments pour animaux;2848;Lait - Excl Beurre;2017;2017;Milliers de tonnes;98;Im;Données de la FAO basées sur une méthodologie d'imputation
FBS;Nouveaux Bilans Alimentaire;4;Algérie;5521;Aliments pour animaux;2763;Poissons Pelagiques;2017;2017;Milliers de tonnes;0;Im;Données de la FAO basées sur une méthodologie d'imputation
FBS;Nouveaux Bilans Alimentaire;79;Allemagne;5521;Aliments pour animaux;2511;Blé et produits;2017;2017;Milliers de tonnes;8987;Im;Données de la FAO basées sur une méthodologie d'imputation
FBS;Nouveaux Bilans Alimentaire;79;Allemagne;5521;Aliments pour animaux;2807;Riz et produits;2017;2017;Milliers de tonnes;14;Im;Données de la FAO basées sur une méthodologie d'imputation
FBS;Nouveaux Bilans Alimentaire;79;Allemagne;5521;Aliments pour animaux;2513;Orge et produits;2017;2017;Milliers de tonnes;6560;Im;Données de la FAO basées sur une méthodologie d'imputation
FBS;Nouveaux Bilans Alimentaire;79;Allemagne;5521;Aliments pour animaux;2514;Maïs et produits;2017;2017;Milliers de tonnes;4855;Im;Données de la FAO basées sur une méthodologie d'imputation
FBS;Nouveaux Bilans Alimentaire;79;Allemagne;5521;Aliments pour animaux;2515;Seigle et produits;2017;2017;Milliers de tonnes;2092;Im;Données de la FAO basées sur une méthodologie d'imputation
FBS;Nouveaux Bilans Alimentaire;79;Allemagne;5521;Aliments pour animaux;2516;Avoine;2017;2017;Milliers de tonnes;482;Im;Données de la FAO basées sur une méthodologie d'imputation
FBS;Nouveaux Bilans Alimentaire;79;Allemagne;5521;Aliments pour animaux;2517;Millet et produits;2017;2017;Milliers de tonnes;8;Im;Données de la FAO basées sur une méthodologie d'imputation
FBS;Nouveaux Bilans Alimentaire;79;Allemagne;5521;Aliments pour animaux;2518;Sorgho et produits;2017;2017;Milliers de tonnes;6;Im;Données de la FAO basées sur une méthodologie d'imputation
FBS;Nouveaux Bilans Alimentaire;79;Allemagne;5521;Aliments pour animaux;2520;Céréales, Autres;2017;2017;Milliers de tonnes;2304;Im;Données de la FAO basées sur une méthodologie d'imputation
FBS;Nouveaux Bilans Alimentaire;79;Allemagne;5521;Aliments pour animaux;2532;Manioc et produits;2017;2017;Milliers de tonnes;0;Im;Données de la FAO basées sur une méthodologie d'imputation
FBS;Nouveaux Bilans Alimentaire;79;Allemagne;5521;Aliments pour animaux;2531;Pommes de Terre et produits;2017;2017;Milliers de tonnes;395;Im;Données de la FAO basées sur une méthodologie d'imputation
FBS;Nouveaux Bilans Alimentaire;79;Allemagne;5521;Aliments pour animaux;2533;Patates douces;2017;2017;Milliers de tonnes;29;Im;Données de la FAO basées sur une méthodologie d'imputation
FBS;Nouveaux Bilans Alimentaire;79;Allemagne;5521;Aliments pour animaux;2534;Racines nda;2017;2017;Milliers de tonnes;2;Im;Données de la FAO basées sur une méthodologie d'imputation
FBS;Nouveaux Bilans Alimentaire;79;Allemagne;5521;Aliments pour animaux;2537;Sucre, betterave;2017;2017;Milliers de tonnes;1;Im;Données de la FAO basées sur une méthodologie d'imputation
FBS;Nouveaux Bilans Alimentaire;79;Allemagne;5521;Aliments pour animaux;2542;Sucre Eq Brut;2017;2017;Milliers de tonnes;9;Im;Données de la FAO basées sur une méthodologie d'imputation
FBS;Nouveaux Bilans Alimentaire;79;Allemagne;5521;Aliments pour animaux;2543;Edulcorants Autres;2017;2017;Milliers de tonnes;0;Im;Données de la FAO basées sur une méthodologie d'imputation
FBS;Nouveaux Bilans Alimentaire;79;Allemagne;5521;Aliments pour animaux;2546;Haricots;2017;2017;Milliers de tonnes;6;Im;Données de la FAO basées sur une méthodologie d'imputation
FBS;Nouveaux Bilans Alimentaire;79;Allemagne;5521;Aliments pour animaux;2547;Pois;2017;2017;Milliers de tonnes;219;Im;Données de la FAO basées sur une méthodologie d'imputation
FBS;Nouveaux Bilans Alimentaire;79;Allemagne;5521;Aliments pour animaux;2549;Légumineuses Autres et produits;2017;2017;Milliers de tonnes;215;Im;Données de la FAO basées sur une méthodologie d'imputation
FBS;Nouveaux Bilans Alimentaire;79;Allemagne;5521;Aliments pour animaux;2555;Soja;2017;2017;Milliers de tonnes;37;Im;Données de la FAO basées sur une méthodologie d'imputation
FBS;Nouveaux Bilans Alimentaire;79;Allemagne;5521;Aliments pour animaux;2557;Graines de tournesol;2017;2017;Milliers de tonnes;151;Im;Données de la FAO basées sur une méthodologie d'imputation
FBS;Nouveaux Bilans Alimentaire;79;Allemagne;5521;Aliments pour animaux;2558;Graines Colza/Moutarde;2017;2017;Milliers de tonnes;42;Im;Données de la FAO basées sur une méthodologie d'imputation
FBS;Nouveaux Bilans Alimentaire;79;Allemagne;5521;Aliments pour animaux;2570;Plantes Oleiferes, Autre;2017;2017;Milliers de tonnes;27;Im;Données de la FAO basées sur une méthodologie d'imputation
FBS;Nouveaux Bilans Alimentaire;79;Allemagne;5521;Aliments pour animaux;2574;Huile de Colza&Moutarde;2017;2017;Milliers de tonnes;706;Im;Données de la FAO basées sur une méthodologie d'imputation
FBS;Nouveaux Bilans Alimentaire;79;Allemagne;5521;Aliments pour animaux;2605;Légumes, Autres;2017;2017;Milliers de tonnes;123;Im;Données de la FAO basées sur une méthodologie d'imputation
FBS;Nouveaux Bilans Alimentaire;79;Allemagne;5521;Aliments pour animaux;2736;Abats Comestible;2017;2017;Milliers de tonnes;1;Im;Données de la FAO basées sur une méthodologie d'imputation
FBS;Nouveaux Bilans Alimentaire;79;Allemagne;5521;Aliments pour animaux;2737;Graisses Animales Crue;2017;2017;Milliers de tonnes;63;Im;Données de la FAO basées sur une méthodologie d'imputation
FBS;Nouveaux Bilans Alimentaire;79;Allemagne;5521;Aliments pour animaux;2781;Huiles de Poissons;2017;2017;Milliers de tonnes;10,74;Im;Données de la FAO basées sur une méthodologie d'imputation
FBS;Nouveaux Bilans Alimentaire;79;Allemagne;5521;Aliments pour animaux;2848;Lait - Excl Beurre;2017;2017;Milliers de tonnes;1374;Im;Données de la FAO basées sur une méthodologie d'imputation
FBS;Nouveaux Bilans Alimentaire;79;Allemagne;5521;Aliments pour animaux;2762;Perciform;2017;2017;Milliers de tonnes;0;Im;Données de la FAO basées sur une méthodologie d'imputation
FBS;Nouveaux Bilans Alimentaire;79;Allemagne;5521;Aliments pour animaux;2763;Poissons Pelagiques;2017;2017;Milliers de tonnes;13,47;Im;Données de la FAO basées sur une méthodologie d'imputation
FBS;Nouveaux Bilans Alimentaire;79;Allemagne;5521;Aliments pour animaux;2765;Crustacés;2017;2017;Milliers de tonnes;1;Im;Données de la FAO basées sur une méthodologie d'imputation
FBS;Nouveaux Bilans Alimentaire;7;Angola;5521;Aliments pour animaux;2511;Blé et produits;2017;2017;Milliers de tonnes;0;Im;Données de la FAO basées sur une méthodologie d'imputation
FBS;Nouveaux Bilans Alimentaire;7;Angola;5521;Aliments pour animaux;2807;Riz et produits;2017;2017;Milliers de tonnes;0;Im;Données de la FAO basées sur une méthodologie d'imputation
FBS;Nouveaux Bilans Alimentaire;7;Angola;5521;Aliments pour animaux;2514;Maïs et produits;2017;2017;Milliers de tonnes;436;Im;Données de la FAO basées sur une méthodologie d'imputation
FBS;Nouveaux Bilans Alimentaire;7;Angola;5521;Aliments pour animaux;2515;Seigle et produits;2017;2017;Milliers de tonnes;0;Im;Données de la FAO basées sur une méthodologie d'imputation
FBS;Nouveaux Bilans Alimentaire;7;Angola;5521;Aliments pour animaux;2516;Avoine;2017;2017;Milliers de tonnes;0;Im;Données de la FAO basées sur une méthodologie d'imputation
FBS;Nouveaux Bilans Alimentaire;7;Angola;5521;Aliments pour animaux;2517;Millet et produits;2017;2017;Milliers de tonnes;4;Im;Données de la FAO basées sur une méthodologie d'imputation
FBS;Nouveaux Bilans Alimentaire;7;Angola;5521;Aliments pour animaux;2518;Sorgho et produits;2017;2017;Milliers de tonnes;0;Im;Données de la FAO basées sur une méthodologie d'imputation
FBS;Nouveaux Bilans Alimentaire;7;Angola;5521;Aliments pour animaux;2520;Céréales, Autres;2017;2017;Milliers de tonnes;0;Im;Données de la FAO basées sur une méthodologie d'imputation
FBS;Nouveaux Bilans Alimentaire;7;Angola;5521;Aliments pour animaux;2532;Manioc et produits;2017;2017;Milliers de tonnes;1276;Im;Données de la FAO basées sur une méthodologie d'imputation
FBS;Nouveaux Bilans Alimentaire;7;Angola;5521;Aliments pour animaux;2533;Patates douces;2017;2017;Milliers de tonnes;446;Im;Données de la FAO basées sur une méthodologie d'imputation
FBS;Nouveaux Bilans Alimentaire;7;Angola;5521;Aliments pour animaux;2535;Ignames;2017;2017;Milliers de tonnes;0;Im;Données de la FAO basées sur une méthodologie d'imputation
FBS;Nouveaux Bilans Alimentaire;7;Angola;5521;Aliments pour animaux;2534;Racines nda;2017;2017;Milliers de tonnes;0;Im;Données de la FAO basées sur une méthodologie d'imputation
FBS;Nouveaux Bilans Alimentaire;7;Angola;5521;Aliments pour animaux;2536;Sucre, canne;2017;2017;Milliers de tonnes;0;Im;Données de la FAO basées sur une méthodologie d'imputation
FBS;Nouveaux Bilans Alimentaire;7;Angola;5521;Aliments pour animaux;2546;Haricots;2017;2017;Milliers de tonnes;40;Im;Données de la FAO basées sur une méthodologie d'imputation
FBS;Nouveaux Bilans Alimentaire;7;Angola;5521;Aliments pour animaux;2547;Pois;2017;2017;Milliers de tonnes;0;Im;Données de la FAO basées sur une méthodologie d'imputation
FBS;Nouveaux Bilans Alimentaire;7;Angola;5521;Aliments pour animaux;2549;Légumineuses Autres et produits;2017;2017;Milliers de tonnes;0;Im;Données de la FAO basées sur une méthodologie d'imputation
FBS;Nouveaux Bilans Alimentaire;7;Angola;5521;Aliments pour animaux;2555;Soja;2017;2017;Milliers de tonnes;7;Im;Données de la FAO basées sur une méthodologie d'imputation
FBS;Nouveaux Bilans Alimentaire;7;Angola;5521;Aliments pour animaux;2557;Graines de tournesol;2017;2017;Milliers de tonnes;0;Im;Données de la FAO basées sur une méthodologie d'imputation
FBS;Nouveaux Bilans Alimentaire;7;Angola;5521;Aliments pour animaux;2558;Graines Colza/Moutarde;2017;2017;Milliers de tonnes;0;Im;Données de la FAO basées sur une méthodologie d'imputation
FBS;Nouveaux Bilans Alimentaire;7;Angola;5521;Aliments pour animaux;2559;Graines de coton;2017;2017;Milliers de tonnes;0;Im;Données de la FAO basées sur une méthodologie d'imputation
FBS;Nouveaux Bilans Alimentaire;7;Angola;5521;Aliments pour animaux;2560;Coco (Incl Coprah);2017;2017;Milliers de tonnes;0;Im;Données de la FAO basées sur une méthodologie d'imputation
FBS;Nouveaux Bilans Alimentaire;7;Angola;5521;Aliments pour animaux;2561;Sésame;2017;2017;Milliers de tonnes;0;Im;Données de la FAO basées sur une méthodologie d'imputation
FBS;Nouveaux Bilans Alimentaire;7;Angola;5521;Aliments pour animaux;2570;Plantes Oleiferes, Autre;2017;2017;Milliers de tonnes;0;Im;Données de la FAO basées sur une méthodologie d'imputation
FBS;Nouveaux Bilans Alimentaire;7;Angola;5521;Aliments pour animaux;2605;Légumes, Autres;2017;2017;Milliers de tonnes;0;Im;Données de la FAO basées sur une méthodologie d'imputation
FBS;Nouveaux Bilans Alimentaire;7;Angola;5521;Aliments pour animaux;2740;Beurre, Ghee;2017;2017;Milliers de tonnes;0;Im;Données de la FAO basées sur une méthodologie d'imputation
FBS;Nouveaux Bilans Alimentaire;7;Angola;5521;Aliments pour animaux;2781;Huiles de Poissons;2017;2017;Milliers de tonnes;2,22;Im;Données de la FAO basées sur une méthodologie d'imputation
